fecha,departamento,municipio,evento,codificacionsegundivipola,muertos,heridos,desapa,personas,familias,viviendasdestru,viviendasaver,vias,ptesvehic,ptepeat,acued,alcant,csalud,ceducat,ccomunit,hectareas,otros,subsidiodearriendo,fechatramiteadtivo,menajes,apaliment,materialesconst,sacos,otros1,transeconomicas,recejecutados
03/30/2011 12:00:00 AM,RISARALDA,SANTA ROSA DE CABAL,VENDAVAL,66682,,,,50,10,,10,,,,,,,,,,,,,0,0,0,0,,0,0
09/14/2012 12:00:00 AM,MAGDALENA,REMOLINO,INUNDACION,47605,,,,,,,,,,,,,,,,,,,,0,0,0,0,,"30,000,000","30,000,000"
02/15/2011 12:00:00 AM,CALDAS,LA MERCED,VENDAVAL,17388,,,,205,41,,41,,,,,,,,,,,,,0,0,0,0,,0,0
05/06/2008 12:00:00 AM,ANTIOQUIA,CAUCASIA,INUNDACION,05154,,,,"13,500","2,700",,,,,,,,,,,,,,39616,"326,531,000","198,000,000",0,0,"57,277,440",,"581,808,440"
10/01/2012 12:00:00 AM,SANTANDER,HATO,INUNDACION,68344,,,,,,,,1,,,1,1,,,,,,,,0,0,0,0,,0,0
07/22/2013 12:00:00 AM,SANTANDER,GIRON,INCENDIO FORESTAL,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,,0,0
04/08/2009 12:00:00 AM,META,GRANADA,INUNDACION,50313,,,,120,24,,24,,,,,,,,,,,,,0,0,0,0,,,0
01/29/2013 12:00:00 AM,CASANARE,AGUAZUL,INCENDIO FORESTAL,85010,,,,,,,,,,,,,,,,6,,0,,0,0,0,0,,0,0
06/20/2006 12:00:00 AM,VALLE DEL CAUCA,BUENAVENTURA,VARIOS,76109,,,,,,,,,,,,,,,,,,,38889,0,0,0,0,,"100,000,000","100,000,000"
02/16/2011 12:00:00 AM,CUNDINAMARCA,PANDI,DESLIZAMIENTO,25524,,,,6,1,1,,,,,,,,,,,,,,0,0,0,0,,0,0
08/17/2010 12:00:00 AM,NORTE DE SANTANDER,PUERTO SANTANDER,VENDAVAL,54553,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0
03/15/1999 12:00:00 AM,CESAR,SAN MARTIN,INUNDACION,,,,,"2,340",390,,390,,,,,,,,,,PERDIDA DE CULTIVOS,,36238,,"8,074,950",,,,,"8,074,950"
07/11/1999 12:00:00 AM,NORTE DE SANTANDER,TOLEDO,DESLIZAMIENTO,54820,,,,20,4,4,,,,,,,,,,,,,36361,,,,,,"1,463,855","1,463,855"
07/15/2010 12:00:00 AM,SUCRE,SAN BENITO ABAD,INUNDACION,70678,,,,"19,426","5,562",6,"3,533",,,,,,,,,"4,052",,,40434,"201,204,000","1,162,630,000",0,0,,0,"1,363,834,000"
