,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
53,30/05/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,7.05,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
54,15/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.25,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
55,16/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,10.13,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
56,17/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,12.78,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
57,18/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.69,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
58,19/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,9.25,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
59,20/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,12.33,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
60,21/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,14.1,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
61,22/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,13.22,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
62,23/06/2012 12:00:00 a. m.,CAM,CAM Norte,Manual,2.9625,-75.297467,41,HUILA,41001,NEIVA,Fija,24,PM2.5,µg/m3,17.18,"{'latitude': '2.9625', 'longitude': '-75.297467'}"
