,fecha,autoridad_ambiental,nombre_de_la_estaci_n,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,geocoded_column,concentraci_n
59,16/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
60,15/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
61,14/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
62,13/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
63,12/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
64,11/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
65,10/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
66,09/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
67,08/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
68,07/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
69,06/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
70,05/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
71,04/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
72,03/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
73,02/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
74,01/10/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
75,30/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
76,29/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
77,28/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
78,27/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
79,26/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
80,25/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
81,24/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
82,23/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
83,22/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
84,21/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
85,20/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
86,19/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
87,18/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
88,17/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
89,16/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
90,15/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
91,14/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
92,13/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
93,12/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
94,11/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
95,10/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
96,09/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
97,08/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
98,07/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
99,06/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
100,05/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
101,04/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
102,03/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
103,02/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
104,01/09/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
105,31/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
106,30/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
107,29/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
108,28/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
109,27/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
110,26/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
111,25/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
112,24/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
113,23/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
114,22/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
115,21/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
116,20/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
117,19/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
118,18/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
119,17/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
120,12/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
121,11/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
122,10/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
123,09/08/2018 00:00,CORPONOR,Cinera,7.888924,-72.505463,54,NORTE DE SANTANDER,54001,CÚCUTA,Fija,24,PM2.5,ugm3,"{'latitude': '7.888924', 'longitude': '-72.505463'}",
