,fecha,autoridad_ambiental,nombre_de_la_estaci_n,tecnolog_a,latitud,longitud,c_digo_del_departamento,departamento,c_digo_del_municipio,nombre_del_municipio,tipo_de_estaci_n,tiempo_de_exposici_n,variable,unidades,concentraci_n,geocoded_column
34,07/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,30.63,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
35,10/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,30.24,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
36,13/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,30.94,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
37,16/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,43.94,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
38,19/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,65.72,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
39,22/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,41,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
40,25/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,102.8,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
41,28/02/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,44.47,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
42,03/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,40.25,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
43,06/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,37.17,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
44,09/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,46.22,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
45,15/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,25.26,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
46,18/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,22.76,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
47,21/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,33.96,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
48,27/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,28.18,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
49,30/03/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,28.13,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
50,05/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,90.35,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
51,08/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,45.16,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
52,14/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,46.3,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
53,17/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,37.83,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
54,20/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,23.38,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
55,23/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,26.6,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
56,26/04/2013 12:00:00 a. m.,CORPOCESAR,ZM01 La Loma Centro,Manual,9.614167,-73.604444,20,CESAR,20250,EL PASO,Fija,24,PM2.5,µg/m3,24.22,"{'latitude': '9.614167', 'longitude': '-73.604444'}"
