ID;CODIGO;NOMBRE;DIRECCION;BARRIO;COMUNA;CLASIFICACION;DECLARATORIA POT;AUTOR;FECHA CREACION;TECNICA Y MATERIAL;ESTADO INTEGRIDAD;ESTADO CONSERVACION;TIPOLOGIA;ELEMENTOS;LOCALIZACION;FICHA;OBSERVACIONES
11;BM-ESP-EM-11;Libardo Lozano Guerrero;Calle 13 Carrera 100;Ciudad Universitaria;17;Estatua;Si;Desconocido;1/01/1986;Bronce Fundido;Completo;Regular;Busto;Pedestal;3.37140291692,-76.5370305922;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-11.pdf;Sin observación
12;BM-ESP-EM-12;Los Muertos del 7 de Agosto;Calle 25 Carreras 1A y 3A;San Nicolás;3;Monumento;Si;Desconocido;1/01/1950;Concreto Armado Repello y Estuco;Incompleto;Regular;Estructura en Forma de Cruz;Base;3.45994485229,-76.520797005;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-12.pdf;Sin observación
13;BM-ESP-EM-13;El Búho;Calle 3 Carreras 36 Y 36B;San Fernando Viejo;19;Monumento;Si;Grupo de Arqueólogos y Antropólogos Holandeses;1/01/1970;Piedra hecha en Resina y Fibra de Vidrio;Completo;Bueno;Escultura de Bulto Redondo;Pedestal en Ladrillo y Cemento;3.43335472197,-76.5475188602;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-13.pdf;Sin observación
14;BM-ESP-EM-14;La Medicina;Calle 3B Carreras 36 y 36B;San Fernando Viejo;19;Monumento;Si;José Ricardo Pinto;1/01/1975;Modelado en Ferro Concreto;Completo;Regular;Grupo Escultórico en Bulto Redondo;Placa;3.43109449348,-76.5464205439;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-14.pdf;Sin observación
15;BM-ESP-EM-15;Pablo Emilio Manrique;Calle 5 Carrera 15;San Juan Bosco;3;Estatua;Si;Héctor Fabio Oviedo;3/07/1996;Resina y Fibra De Vidrio;Fragmentado;Regular;Busto;Pedestal;3.44150629217,-76.5354142458;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-15.pdf;Sin observación
16;BM-ESP-EM-16;José de San Martín;Calle 5 Carrera 24;Miraflores;19;Estatua;Si;Desconocido;1/01/1938;Bronce Fundido;Completo;Regular;Busto;Pedestal en Cemento y Ladrillo;3.43790970309,-76.5388359063;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-16.pdf;Sin observación
17;BM-ESP-EM-17;Carlos Holmes Trujillo M.;Calle 72U Carrera 28F;El Poblado II;13;Estatua;Si;Desconocido;28/05/1990;Cemento;Desconocido;No Existe;Busto;Pedestal en Mármol. Base en Granito. Placas;3.41885145446,-76.4940964758;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-17.pdf;No Existe - Desaparecido
18;BM-ESP-EM-18;Sebastián de Belalcázar;Calle 7 Oeste con Carrera 2 Oeste;Arboledas;2;Estatua;Si;Victorio Macho;25/07/1937;Bronce Fundido a la Cera Perdida;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal;3.44912830307,-76.5452105333;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-18.pdf;Sin observación
19;BM-ESP-EM-19;Efraín y María;Avenida 2N 10 – 70, CAM;Centenario;2;Monumento;Si;Carlos A. Perea;1/01/1920;Mármol Blanco de Carrara, Tallado y Pulido;Fragmentado;Malo;Grupo Escultórico;Busto de Jorge Isaacs en Remate de Columna Central. Base;3.45381276444,-76.5336963807;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-19.pdf;Sin observación
20;BM-ESP-EM-20;Tres Cruces;Cerro de las Tres Cruces;Corregimiento Golondrinas;65;Monumento;Si;A. Escobar, V. Ampudia, L. Perea Y E. Chavez;6/01/1938;Concreto Armado;Completo;Regular;Tres Estructuras en Forma de Cruz Latina;Desconocido;3.46763921729,-76.5451781745;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-20.pdf;Sin observación
21;BM-ESP-EM-21;Cristo Rey;Cerro de Los Cristales;Corregimiento Los Andes;56;Monumento;Si;Adelino Tazzioli;25/10/1953;Fundida en Concreto Armado;Incompleto;Malo;Escultura de Bulto Redondo, Pedestre;Base y Placa;3.43596651152,-76.5648169049;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-21.pdf;Sin observación
22;BM-ESP-EM-22;Las Aves del Rio;Avenida 2N 10 – 70, Costado Noroccidente de La Manzana T CAM;Granada;2;Monumento;Si;Omar Rayo;6/12/1996;Láminas de Hierro Soldado y Concreto Armado;Completo;Regular;Estructura;Base;3.45562671102,-76.5328529767;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-22.pdf;Sin observación
23;BM-ESP-EM-23;El Perro;Carrera 34 Calle 3 Oeste, Parque del Perro;San Fernando Viejo;19;Monumento;Si;Roberto Bucci;1/01/1964;Modelado en Concreto;Completo;Bueno;Escultura de Bulto Redondo;Pedestal;3.43595562428,-76.5455025444;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-23.pdf;Sin observación
24;BM-ESP-EM-24;Esfuerzo de la Raza;Carrera 54 Calle 6 Oeste;Belisario Caicedo;20;Monumento;Si;Ricardo Pinto y Héctor Fabio Oviedo;1/01/1973;Modelado en Ferro Concreto;Incompleto;Regular;Escultura de Bulto Redondo;Pedestal en Cemento y Placa;3.41378222153,-76.557838212;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-24.pdf;Sin observación
25;BM-ESP-EM-25;Jorge Isaacs 1957;Carrera 7 Calle 26;Jorge Isaacs;4;Estatua;Si;Desconocido;1/01/1957;Concreto;Incompleto;Regular;Busto;Pedestal;3.4549210265,-76.5183305704;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-25.pdf;Sin observación
26;BM-ESP-EM-26;La Virgen;Carrera 12 Calles 36 y 37;Las Américas;8;Monumento;Si;"Lucho ""Marcelo"" y ""Neneco"" (Autores Espontáneos)";1/01/9999;"""Gruta"" en Concreto que contiene reproducción de la Virgen en Yeso";Incompleto;Regular;Escultura Pedrestre en Bulto Redondo;Base;3.44699851363,-76.5081339001;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-26.pdf;Fecha de creación desconocida
27;BM-ESP-EM-27;Simón Bolívar;Carrera 17 Transversal 29;Simón Bolívar;8;Estatua;Si;Luis Eduardo Riaño;30/01/1981;Concreto;Incompleto;Regular;Busto;Pedestal y Placa;3.44181134264,-76.5167122358;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-27.pdf;Sin observación
28;BM-ESP-EM-28;José Manuel Saavedra Galindo (Barrio);Transversal 31 con Carrera 17;Saavedra Galindo;8;Estatua;Si;Desconocido;20/10/1979;Concreto Armado;Incompleto;Malo;Busto;Pedestal;3.44242364737,-76.5144526878;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-28.pdf;Sin observación
29;BM-ESP-EM-29;Jorge Eliecer Gaitán;Carrera 1D Calle 72;Jorge Eliecer Gaitán;6;Estatua;Si;Desconocido;1/01/1983;Bronce Fundido;Completo;Regular;Escultura Pedestre de Bulto Redondo;Pedestal en Cemento y Granito. Placa;3.47716605687,-76.4853013904;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-29.pdf;Sin observación
30;BM-ESP-EM-30;Isaías Gamboa;Carrera 4 Calle 1 Oeste;El Peñón;3;Estatua;Si;Desconocido;26/12/1928;Mármol Tallado;Fragmentado;Regular;Busto;Pedestal con Escultura de Bulto Redondo Adosada en Cara Frontal;3.44929917173,-76.5419481056;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-30.pdf;Sin observación
31;BM-ESP-EM-31;20 Aniversario de la Fundación Barrio Municipal;Carrera 14F Calles 32 y 33A;La Floresta;8;Monumento;Si;Desconocido;1/01/1969;Concreto;Completo;Regular;Placa;Pedestal;3.44560174813,-76.5110247514;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-31.pdf;Sin observación
32;BM-ESP-EM-32;José Manuel Saavedra Galindo;Calle 7 con Carrera 23, Parque Barrio Alameda;Alameda;9;Estatua;Si;Carvajal Hermanos y Pablo Rodríguez;12/10/1936;Bronce Fundido;Completo;Bueno;Busto;Pedestal;3.43716056168,-76.5364429581;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-32.pdf;Sin observación
33;BM-ESP-EM-33;Los Poetas;Carrera 3 con Calles 12 y 13, Parque de Los Poetas;San Pedro;3;Monumento;Si;José Antonio Moreno;1/01/1994;Resina y Fibra de Vidrio;Completo;Regular;Grupo Escultórico;Desconocido;3.45363228459,-76.532095451;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-33.pdf;Sin observación
